Order,Date,Species,Strain,Egg,Length,Width,V=1/6(3.14159)W^2L,,N
B,10/1/25,Dsec,28,8,0.616,0.273,0.024038328,,
B,10/1/25,Dsec,28,9,0.563,0.255,0.019168451,,
B,10/1/25,Dsec,28,10,0.565,0.263,0.020462477,,
B,10/1/25,Dsec,28,11,0.578,0.306,0.028337984,,
B,10/1/25,Dsec,28,12,0.602,0.295,0.027430819,,
B,10/1/25,Dsec,28,13,0.672,0.259,0.023602992,,
B,10/1/25,Dsec,28,14,0.603,0.295,0.027476385,,
B,10/1/25,Dsec,28,15,0.604,0.298,0.028084566,,
B,10/1/25,Dsec,28,16,0.641,0.283,0.026879993,,
B,10/1/25,Dsec,28,17,0.602,0.302,0.028748066,,
B,10/1/25,Dsec,28,18,0.598,0.285,0.025432506,,
B,10/1/25,Dsec,28,19,0.573,0.268,0.021548769,,
B,10/1/25,Dsec,28,20,0.587,0.278,0.023753409,,
B,10/1/25,Dsec,28,21,0.775,0.279,0.031586999,,
B,10/1/25,Dsec,28,22,0.628,0.311,0.031803775,,
B,10/1/25,Dsec,28,23,0.625,0.34,0.03782998,,
B,10/1/25,Dsec,28,24,0.586,0.301,0.02779898,,
B,10/1/25,Dsec,28,25,0.571,0.333,0.033153,,
B,10/1/25,Dsec,28,26,0.618,0.308,0.030696451,,
B,10/1/25,Dsec,28,27,0.585,0.332,0.033762165,,
B,10/1/25,Dsec,28,28,0.623,0.259,0.02188194,,
B,10/1/25,Dsec,28,29,0.625,0.352,0.040547455,,
B,10/1/25,Dsec,28,30,0.641,0.27,0.024467174,,
F,10/1/25,Dsec,A3112,1,0.632,0.257,0.021856548,,37
F,10/1/25,Dsec,A3112,2,0.707,0.284,0.029857562,,
F,10/1/25,Dsec,A3112,3,0.625,0.312,0.031855723,,
F,10/1/25,Dsec,A3112,4,0.642,0.27,0.024505344,,
F,10/1/25,Dsec,A3112,5,0.718,0.287,0.030966099,,
F,10/1/25,Dsec,A3112,6,0.614,0.313,0.031495993,,
F,10/1/25,Dsec,A3112,7,0.591,0.296,0.027112475,,
F,10/1/25,Dsec,A3112,8,0.582,0.327,0.032584926,,
F,10/1/25,Dsec,A3112,9,0.683,0.311,0.034589138,,
F,10/1/25,Dsec,A3112,10,0.624,0.309,0.031196064,,
F,10/17/25,Dsec,A3112,1,0.667,0.31,0.033561972,,
F,10/17/25,Dsec,A3112,2,0.6,0.285,0.025517565,,
F,10/17/25,Dsec,A3112,3,0.609,0.273,0.023765165,,
F,10/17/25,Dsec,A3112,4,0.634,0.299,0.029677676,,
F,10/17/25,Dsec,A3112,5,0.682,0.277,0.02739947,,
F,10/17/25,Dsec,A3112,6,0.632,0.316,0.033043763,,
F,10/17/25,Dsec,A3112,7,0.633,0.285,0.026921031,,
F,10/17/25,Dsec,A3112,8,0.741,0.305,0.036092432,,
F,10/17/25,Dsec,A3112,9,0.627,0.273,0.024467584,,
F,10/17/25,Dsec,A3112,10,0.531,0.256,0.018221021,,
F,10/17/25,Dsec,A3112,11,0.572,0.3,0.026954842,,
F,10/17/25,Dsec,A3112,12,0.614,0.272,0.02378507,,
F,10/17/25,Dsec,A3112,13,0.663,0.273,0.025872422,,
F,10/17/25,Dsec,A3112,14,0.72,0.316,0.037644793,,
F,10/17/25,Dsec,A3112,15,0.754,0.283,0.031618588,,
F,10/17/25,Dsec,A3112,16,0.641,0.329,0.036328551,,
F,10/17/25,Dsec,A3112,17,0.703,0.31,0.035373413,,
F,10/17/25,Dsec,A3112,18,0.638,0.295,0.0290712,,
F,10/17/25,Dsec,A3112,19,0.647,0.243,0.020003919,,
F,10/17/25,Dsec,A3112,20,0.639,0.31,0.032153074,,
F,10/17/25,Dsec,A3112,21,0.757,0.316,0.039579317,,
F,10/17/25,Dsec,A3112,22,0.62,0.256,0.021275015,,
F,10/17/25,Dsec,A3112,23,0.638,0.317,0.033568927,,
F,10/17/25,Dsec,A3112,24,0.663,0.299,0.031035172,,
F,10/17/25,Dsec,A3112,25,0.681,0.297,0.031452724,,
F,10/17/25,Dsec,A3112,26,0.687,0.314,0.03546617,,
F,10/17/25,Dsec,A3112,27,0.747,0.353,0.048738063,,
E,10/1/25,Dsec,A3F311,1,0.667,0.322,0.036210609,,29
E,10/1/25,Dsec,A3F311,2,0.702,0.304,0.033968982,,
E,10/1/25,Dsec,A3F311,3,0.596,0.293,0.026790434,,
E,10/1/25,Dsec,A3F311,4,0.65,0.321,0.035068862,,
E,10/1/25,Dsec,A3F311,5,0.665,0.286,0.028480786,,
E,10/1/25,Dsec,A3F311,6,0.64,0.307,0.031583116,,
E,10/1/25,Dsec,A3F311,7,0.672,0.298,0.031246405,,
E,10/1/25,Dsec,A3F311,8,0.609,0.305,0.029663011,,
E,10/1/25,Dsec,A3F311,9,0.581,0.316,0.030377257,,
E,10/1/25,Dsec,A3F311,10,0.645,0.316,0.033723461,,
E,10/1/25,Dsec,A3F311,11,0.683,0.304,0.033049594,,
E,10/1/25,Dsec,A3F311,12,0.661,0.304,0.031985039,,
E,10/1/25,Dsec,A3F311,13,0.68,0.267,0.025382225,,
E,10/1/25,Dsec,A3F311,14,0.659,0.27,0.02515424,,
E,10/1/25,Dsec,A3F311,15,0.644,0.284,0.027196988,,
E,10/1/25,Dsec,A3F311,16,0.624,0.265,0.022944288,,
E,10/1/25,Dsec,A3F311,17,0.663,0.283,0.027802552,,
E,10/1/25,Dsec,A3F311,18,0.634,0.295,0.028888936,,
E,10/1/25,Dsec,A3F311,19,0.682,0.295,0.031076111,,
E,10/1/25,Dsec,A3F311,20,0.785,0.272,0.030409251,,
E,10/1/25,Dsec,A3F311,21,0.636,0.286,0.027238767,,
E,10/17/25,Dsec,A3F311,1,0.772,0.25,0.02526362,,
E,10/17/25,Dsec,A3F311,2,0.679,0.238,0.02013826,,
E,10/17/25,Dsec,A3F311,3,0.634,0.275,0.025104577,,
E,10/17/25,Dsec,A3F311,4,0.601,0.289,0.026282605,,
E,10/17/25,Dsec,A3F311,5,0.746,0.256,0.025598647,,
E,10/17/25,Dsec,A3F311,6,0.706,0.267,0.026352722,,
E,10/17/25,Dsec,A3F311,7,0.66,0.291,0.029263628,,
E,10/17/25,Dsec,A3F311,8,0.657,0.28,0.026969922,,
G,10/1/25,Dsec,M13111,1,0.643,0.287,0.027731478,,36
G,10/1/25,Dsec,M13111,2,0.745,0.291,0.033032429,,
G,10/1/25,Dsec,M13111,3,0.634,0.317,0.033358463,,
G,10/1/25,Dsec,M13111,4,0.622,0.317,0.032727073,,
G,10/1/25,Dsec,M13111,5,0.65,0.294,0.029417535,,
G,10/1/25,Dsec,M13111,6,0.655,0.317,0.034463397,,
G,10/1/25,Dsec,M13111,7,0.622,0.296,0.028534618,,
G,10/17/25,Dsec,M13111,1,0.603,0.231,0.016847658,,
G,10/17/25,Dsec,M13111,2,0.653,0.259,0.022935645,,
G,10/17/25,Dsec,M13111,3,0.621,0.268,0.023353901,,
G,10/17/25,Dsec,M13111,4,0.645,0.293,0.028993004,,
G,10/17/25,Dsec,M13111,5,0.627,0.293,0.028183897,,
G,10/17/25,Dsec,M13111,6,0.634,0.234,0.018176875,,
G,10/17/25,Dsec,M13111,7,0.656,0.284,0.027703764,,
G,10/17/25,Dsec,M13111,8,0.654,0.25,0.021402082,,
G,10/17/25,Dsec,M13111,9,0.639,0.286,0.027367251,,
G,10/17/25,Dsec,M13111,10,0.593,0.32,0.031794566,,
G,10/17/25,Dsec,M13111,11,0.55,0.259,0.019317925,,
G,10/17/25,Dsec,M13111,12,0.582,0.291,0.025805199,,
G,10/17/25,Dsec,M13111,13,0.608,0.293,0.027329839,,
G,10/17/25,Dsec,M13111,14,0.684,0.235,0.019778351,,
G,10/17/25,Dsec,M13111,15,0.596,0.269,0.022581307,,
G,10/17/25,Dsec,M13111,16,0.603,0.284,0.025465502,,
G,10/17/25,Dsec,M13111,17,0.671,0.304,0.032468927,,
G,10/17/25,Dsec,M13111,18,0.584,0.272,0.022622933,,
G,10/17/25,Dsec,M13111,19,0.699,0.315,0.036315877,,
G,10/17/25,Dsec,M13111,20,0.653,0.3,0.030771874,,
G,10/17/25,Dsec,M13111,21,0.578,0.269,0.021899321,,
G,10/17/25,Dsec,M13111,22,0.587,0.267,0.021910833,,
G,10/17/25,Dsec,M13111,23,0.644,0.317,0.033884622,,
G,10/17/25,Dsec,M13111,24,0.673,0.277,0.027037894,,
G,10/17/25,Dsec,M13111,25,0.636,0.261,0.022684875,,
G,10/17/25,Dsec,M13111,26,0.613,0.272,0.023746332,,
G,10/17/25,Dsec,M13111,27,0.713,0.284,0.030110951,,
G,10/17/25,Dsec,M13111,28,0.645,0.31,0.032454981,,
G,10/17/25,Dsec,M13111,29,0.624,0.31,0.031398307,,
D,10/1/25,Dsec,P7621,1,0.634,0.293,0.028498549,,38
D,10/1/25,Dsec,P7621,2,0.611,0.261,0.021793174,,
D,10/1/25,Dsec,P7621,3,0.539,0.285,0.022923279,,
D,10/1/25,Dsec,P7621,4,0.544,0.285,0.023135925,,
D,10/1/25,Dsec,P7621,5,0.499,0.292,0.0222774,,
D,10/17/25,Dsec,P7621,1,0.466,0.298,0.021667894,,
D,10/17/25,Dsec,P7621,2,0.647,0.243,0.020003919,,
D,10/17/25,Dsec,P7621,3,0.552,0.289,0.024139764,,
D,10/17/25,Dsec,P7621,4,0.623,0.295,0.028387708,,
D,10/17/25,Dsec,P7621,5,0.642,0.273,0.025052933,,
D,10/17/25,Dsec,P7621,6,0.642,0.322,0.03485339,,
D,10/31/25,Dsec,P7621,4,0.638,0.283,0.02675419,,
D,10/31/25,Dsec,P7621,5,0.67,0.305,0.032634182,,
D,10/31/25,Dsec,P7621,6,0.65,0.285,0.027644029,,
D,10/31/25,Dsec,P7621,7,0.731,0.332,0.042188278,,
D,10/31/25,Dsec,P7621,8,0.704,0.326,0.039174739,,
D,10/31/25,Dsec,P7621,9,0.74,0.315,0.038445993,,
D,10/31/25,Dsec,P7621,10,0.623,0.265,0.022907519,,
D,10/31/25,Dsec,P7621,11,0.638,0.282,0.026565448,,
D,10/31/25,Dsec,P7621,12,0.612,0.312,0.031193124,,
D,10/31/25,Dsec,P7621,13,0.632,0.351,0.040768954,,
D,10/31/25,Dsec,P7621,14,0.655,0.261,0.023362568,,
D,10/31/25,Dsec,P7621,15,0.585,0.305,0.028494025,,
D,10/31/25,Dsec,P7621,16,0.596,0.267,0.022246774,,
D,10/31/25,Dsec,P7621,17,0.607,0.261,0.021650502,,
D,10/31/25,Dsec,P7621,18,0.766,0.267,0.02859233,,
D,10/31/25,Dsec,P7621,19,0.727,0.267,0.027136585,,
D,10/31/25,Dsec,P7621,20,0.704,0.289,0.030786945,,
D,10/31/25,Dsec,P7621,21,0.63,0.249,0.020452081,,
D,10/31/25,Dsec,P7621,22,0.633,0.304,0.030630151,,
D,10/31/25,Dsec,P7621,23,0.66,0.296,0.03027789,,
D,10/31/25,Dsec,P7621,24,0.617,0.274,0.024254065,,
D,10/31/25,Dsec,P7621,25,0.652,0.267,0.024337075,,
D,10/31/25,Dsec,P7621,26,0.607,0.261,0.021650502,,
D,10/31/25,Dsec,P7621,27,0.798,0.282,0.03322763,,
D,10/31/25,Dsec,P7621,28,0.647,0.285,0.027516441,,
D,10/31/25,Dsec,P7621,29,0.68,0.282,0.028314271,,
D,10/31/25,Dsec,P7621,30,0.704,0.283,0.029521865,,
C,10/31/25,Dsec,P7611,1,0.633,0.29,0.027873914,,32
C,10/31/25,Dsec,P7611,2,0.671,0.274,0.026376788,,
C,10/31/25,Dsec,P7611,3,0.612,0.297,0.028265884,,
C,10/31/25,Dsec,P7611,4,0.649,0.333,0.037681781,,
C,10/31/25,Dsec,P7611,5,0.632,0.273,0.0246627,,
C,10/31/25,Dsec,P7611,6,0.621,0.293,0.027914194,,
C,10/31/25,Dsec,P7611,7,0.663,0.255,0.022573149,,
C,10/31/25,Dsec,P7611,8,0.663,0.285,0.028196909,,
C,10/31/25,Dsec,P7611,9,0.645,0.272,0.024985945,,
C,10/31/25,Dsec,P7611,10,0.631,0.293,0.028363698,,
C,10/31/25,Dsec,P7611,11,0.645,0.306,0.031622837,,
C,10/31/25,Dsec,P7611,12,0.629,0.287,0.027127683,,
C,10/31/25,Dsec,P7611,13,0.632,0.256,0.02168679,,
C,10/31/25,Dsec,P7611,14,0.616,0.301,0.029222136,,
C,10/31/25,Dsec,P7611,15,0.639,0.301,0.030313222,,
C,10/31/25,Dsec,P7611,16,0.621,0.273,0.024233445,,
C,10/31/25,Dsec,P7611,17,0.633,0.317,0.033305848,,
C,10/31/25,Dsec,P7611,18,0.645,0.229,0.017710423,,
C,10/31/25,Dsec,P7611,19,0.657,0.286,0.02813816,,
C,10/31/25,Dsec,P7611,20,0.561,0.3,0.02643648,,
C,10/31/25,Dsec,P7611,21,0.645,0.306,0.031622837,,
C,10/31/25,Dsec,P7611,22,0.63,0.296,0.028901623,,
C,10/31/25,Dsec,P7611,23,0.711,0.307,0.035086868,,
C,10/31/25,Dsec,P7611,24,0.688,0.283,0.028850913,,
C,10/31/25,Dsec,P7611,25,0.636,0.262,0.022859038,,
C,10/31/25,Dsec,P7611,26,0.645,0.291,0.028598546,,
C,10/31/25,Dsec,P7611,27,0.629,0.325,0.034786892,,
C,10/17/25,Dsec,P7611,1,0.58,0.253,0.019438703,,
C,10/17/25,Dsec,P7611,2,0.663,0.33,0.037804166,,
C,10/17/25,Dsec,P7611,3,0.63,0.259,0.022127805,,
C,10/17/25,Dsec,P7611,4,0.603,0.257,0.020853637,,
C,10/17/25,Dsec,P7611,5,0.708,0.26,0.025059835,,
