Date,Counter,Species,Strain,Fly,Ovary.1,Ovary.2,Total,Mean.per.ovary,Strain.average,N,Order
8.22.2025,Janpreet,Dsec,Praslin7611,7,7,10,17,8.5,,,C
8.22.2025,Janpreet,Dsec,Praslin7611,8,6,7,13,6.5,,,C
8.22.2025,Janpreet,Dsec,Praslin7611,9,8,10,18,9,,,C
8.22.2025,Janpreet,Dsec,Praslin7611,10,9,6,15,7.5,,,C
9.5.2032,Janpreet,Dsec,Praslin7621,1,7,8,15,7.5,7.4,10,D
9.5.2032,Janpreet,Dsec,Praslin7621,2,6,7,13,6.5,,,D
9.5.2032,Janpreet,Dsec,Praslin7621,3,4,6,10,5,,,D
9.5.2032,Janpreet,Dsec,Praslin7621,4,8,7,15,7.5,,,D
9.5.2032,Janpreet,Dsec,Praslin7621,5,6,8,14,7,,,D
9.5.2032,Janpreet,Dsec,Praslin7621,6,7,10,17,8.5,,,D
9.5.2032,Janpreet,Dsec,Praslin7621,7,8,8,16,8,,,D
9.5.2032,Janpreet,Dsec,Praslin7621,8,5,7,12,6,,,D
9.5.2032,Janpreet,Dsec,Praslin7621,9,11,9,20,10,,,D
9.5.2032,Janpreet,Dsec,Praslin7621,10,7,9,16,8,,,D
9.12.2025,Janpreet,Dsec,ArideA3F311,1,5,10,15,7.5,7.388888889,9,E
9.12.2025,Janpreet,Dsec,ArideA3F311,2,7,9,16,8,,,E
9.12.2025,Janpreet,Dsec,ArideA3F311,3,9,7,16,8,,,E
9.12.2025,Janpreet,Dsec,ArideA3F311,4,7,10,17,8.5,,,E
9.12.2025,Janpreet,Dsec,ArideA3F311,5,5,6,11,5.5,,,E
9.12.2025,Janpreet,Dsec,ArideA3F311,6,7,8,15,7.5,,,E
9.12.2025,Janpreet,Dsec,ArideA3F311,7,6,8,14,7,,,E
9.12.2025,Janpreet,Dsec,ArideA3F311,9,9,6,15,7.5,,,E
9.12.2025,Janpreet,Dsec,ArideA3F311,10,8,6,14,7,,,E
